filename,family,name,peakDbfs,rmsDbfs,crestDb,dcOffset,stereoCorrelation,centroidHz,lowRatio,midRatio,highRatio,envMotionDb,centroidMotionHz,loopClickEnergy,clippedSamples,issues
001 - Bass -  Acoustic Bass.acp,Bass,Bass / Acoustic Bass,-3.67,-17.95,14.28,0.000000,0.9888,208.0,0.8030,0.1898,0.0072,8.650,71.3,0.0200,0,
002 - Bass -  Fingered E-Bass.acp,Bass,Bass / Fingered E-Bass,-2.96,-12.59,9.63,0.000001,0.9910,985.1,0.5328,0.2747,0.1925,7.961,353.4,0.0027,0,
003 - Bass -  Picked E-Bass.acp,Bass,Bass / Picked E-Bass,-1.86,-12.41,10.55,-0.000000,0.9902,306.1,0.5832,0.4099,0.0069,6.608,130.1,0.2501,0,
004 - Bass -  Fretless Bass.acp,Bass,Bass / Fretless Bass,-3.59,-22.01,18.42,-0.000000,0.9904,336.8,0.4751,0.5147,0.0101,7.139,137.3,0.0819,0,
005 - Bass -  Slap Bass.acp,Bass,Bass / Slap Bass,-1.86,-17.19,15.33,-0.000000,0.9903,677.8,0.4431,0.4365,0.1204,9.758,499.5,0.0010,0,
006 - Bass -  Slap Bass 2.acp,Bass,Bass / Slap Bass 2,-1.86,-16.70,14.84,-0.000000,0.9903,677.6,0.4432,0.4365,0.1203,9.721,513.6,0.0010,0,
007 - Bass -  Synth Bass 1.acp,Bass,Bass / Synth Bass 1,0.20,-12.47,12.68,-0.000001,0.9912,1365.6,0.3271,0.4220,0.2510,8.430,199.5,0.0000,8,
008 - Bass -  Synth Bass 2.acp,Bass,Bass / Synth Bass 2,-2.64,-10.97,8.34,-0.000000,0.9900,283.2,0.6977,0.2860,0.0163,6.489,231.5,0.1385,0,
009 - Lead -  Square Lead.acp,Lead,Lead / Square Lead,0.30,-9.90,10.20,-0.000001,0.9820,2894.8,0.0012,0.5960,0.4028,4.691,428.0,0.0000,4,
010 - Lead -  Sawtooth Lead.acp,Lead,Lead / Sawtooth Lead,-0.09,-13.50,13.41,0.000000,0.9856,3937.8,0.0013,0.4675,0.5311,5.093,574.7,0.0000,0,
011 - Lead -  Calliope Lead.acp,Lead,Lead / Calliope Lead,-6.53,-20.96,14.43,0.000002,0.9843,1019.0,0.0010,0.9146,0.0844,4.457,418.0,0.2101,0,
012 - Lead -  Chiff Lead.acp,Lead,Lead / Chiff Lead,-5.41,-18.41,13.00,-0.000002,0.9870,1067.1,0.0015,0.9445,0.0540,3.731,357.7,0.1396,0,
013 - Lead -  Charang Lead.acp,Lead,Lead / Charang Lead,-1.52,-8.44,6.92,-0.000000,0.9880,4332.6,0.0029,0.5267,0.4704,5.054,548.9,0.0000,0,
014 - Lead -  Voice Lead.acp,Lead,Lead / Voice Lead,-6.08,-16.92,10.84,-0.000000,0.9859,3470.5,0.0045,0.5248,0.4707,3.487,866.4,0.0054,0,
015 - Lead -  Fifths Lead.acp,Lead,Lead / Fifths Lead,-1.01,-13.70,12.69,-0.000001,0.9822,3434.0,0.0038,0.4973,0.4989,4.918,523.6,0.0000,0,
016 - Lead -  Bass_Lead.acp,Lead,Lead / Bass+Lead,-1.51,-8.44,6.94,-0.000000,0.9880,4156.2,0.0029,0.5338,0.4634,5.051,693.7,0.0000,0,
017 - Pad -  New Age Pad.acp,Pad,Pad / New Age Pad,-2.23,-15.54,13.31,-0.000000,0.7543,2645.4,0.0012,0.5792,0.4196,9.031,255.4,0.2383,0,
018 - Pad -  Warm Pad.acp,Pad,Pad / Warm Pad,-0.36,-13.12,12.76,0.000000,0.8388,2782.8,0.0475,0.5786,0.3738,15.949,260.8,0.0000,0,
019 - Pad -  Polysynth Pad.acp,Pad,Pad / Polysynth Pad,0.75,-14.33,15.09,-0.000000,0.8368,4297.4,0.0044,0.4101,0.5855,16.206,343.4,0.0000,5,
020 - Pad -  Choir Pad.acp,Pad,Pad / Choir Pad,-2.20,-16.58,14.37,0.000000,0.7880,1339.7,0.0016,0.8502,0.1482,9.320,89.2,0.1333,0,
