filename,family,name,peakDbfs,rmsDbfs,crestDb,dcOffset,stereoCorrelation,centroidHz,lowRatio,midRatio,highRatio,envMotionDb,centroidMotionHz,loopClickEnergy,clippedSamples,issues
001 - Bass -  Sub Bass.acp,Bass,Bass / Sub Bass,4.93,-2.59,7.51,-0.000000,0.9988,586.5,0.6090,0.2997,0.0913,28.104,375.2,0.7952,155495,hard clipping (155495 samples); loop seam click 0.795
002 - Bass -  Round Analog Bass.acp,Bass,Bass / Round Analog Bass,6.74,-4.15,10.90,0.000000,0.9987,850.4,0.4683,0.4049,0.1267,27.115,731.9,0.5409,97935,hard clipping (97935 samples); loop seam click 0.541
003 - Bass -  Acid Bass.acp,Bass,Bass / Acid Bass,6.57,-3.53,10.10,-0.000000,0.9990,6462.1,0.2001,0.1645,0.6354,23.573,1428.0,0.0461,113118,hard clipping (113118 samples); bass centroid too high (6462.09 Hz)
004 - Bass -  Picked Synth Bass.acp,Bass,Bass / Picked Synth Bass,5.30,-2.67,7.97,0.000000,0.9987,406.3,0.6850,0.2679,0.0471,28.076,515.3,0.8315,153821,hard clipping (153821 samples); loop seam click 0.831
005 - Bass -  Growl Bass.acp,Bass,Bass / Growl Bass,7.80,-3.20,11.00,-0.000000,0.9988,1611.0,0.2853,0.4784,0.2363,27.690,3797.6,0.0850,122048,hard clipping (122048 samples); bass centroid too high (1610.98 Hz)
006 - Bass -  Reese Bass.acp,Bass,Bass / Reese Bass,8.23,-2.65,10.88,0.000000,0.9900,998.4,0.4702,0.3868,0.1430,25.298,2763.8,1.5296,115020,hard clipping (115020 samples); loop seam click 1.530
007 - Bass -  Rubber Bass.acp,Bass,Bass / Rubber Bass,7.78,-2.45,10.23,-0.000000,0.9989,639.4,0.5009,0.4144,0.0847,27.617,661.9,0.0336,126859,hard clipping (126859 samples)
008 - Bass -  Plucked Mono Bass.acp,Bass,Bass / Plucked Mono Bass,4.62,-4.32,8.94,0.000000,0.9987,444.6,0.7192,0.2228,0.0580,27.280,485.0,0.5252,114133,hard clipping (114133 samples); loop seam click 0.525
009 - Bass -  Hollow Digital Bass.acp,Bass,Bass / Hollow Digital Bass,3.17,-34.44,37.61,0.000000,0.9879,198.8,0.9807,0.0072,0.0121,17.027,1693.5,0.1475,32,hard clipping (32 samples)
010 - Bass -  Lo-Fi Bass.acp,Bass,Bass / Lo-Fi Bass,2.69,-6.22,8.91,0.000000,0.9988,842.6,0.6334,0.2194,0.1472,27.421,995.0,0.5848,56968,hard clipping (56968 samples); loop seam click 0.585
